pob,año,id_ent,id_mun,mun
28474.4478038,2016,22,18,Tolimán
48042.943269,2026,7,94,Teopisca
3273.5342585,2013,20,396,Santa María la Asunción
17983.0202824,2023,30,164,Teocelo
216550.45116,2030,30,131,Poza Rica de Hidalgo
900852.43739,2027,24,28,San Luis Potosí
66830.265827,2016,32,39,Río Grande
107629.436996,2015,17,29,Yautepec
43377.98515,2014,31,79,Tekax
22852.784693,2026,30,112,Naolinco
12925.5822487,2025,7,42,Ixhuatán
53780.723081,2022,1,2,Asientos
1175.53474588,2027,20,319,San Pedro Mixtepec B
66133.128977,2022,4,9,Escárcega
38175.104708,2017,14,100,Tomatlán
140676.985434,2018,30,28,Boca del Río
8574.232747,2017,32,6,Cañitas de Felipe Pescador
32030.051262,2014,16,97,Turicato
50130.686244,2011,1,7,Rincón de Romos
9577.1240481,2030,21,151,Santo Tomás Hueyotlipan
556.48476592,2010,20,423,Santa María Nduayaco
4804.7583345,2021,21,88,Jonotla
10687.5772605,2022,22,15,San Joaquín
12773.8888074,2026,12,6,Apaxtla
23699.670759,2014,18,14,Santa María del Oro
255960.943789,2012,27,2,Cárdenas
10792.2960058,2025,21,100,Naupan
16559.3983884,2023,26,72,San Ignacio Río Muerto
7328.6075097,2020,14,10,Atemajac de Brizuela
3525.3885717,2013,14,76,San Martín de Bolaños
6874.8502854,2012,20,9,Ayotzintepec
15315.0974571,2028,15,79,Soyaniquilpan de Juárez
5209.8400747,2025,15,69,Papalotla
19968.8077692,2012,30,192,Vega de Alatorre
1154.86746812,2024,8,33,Huejotitán
80113.312922,2016,16,76,Sahuayo
542.39915499,2024,20,476,Santiago Miltepec
576.07509915,2020,20,100,San Andrés Yaá
11390.0344022,2015,20,131,San Dionisio Ocotepec
3229.4696854,2013,8,58,San Francisco de Conchos
24196.220582,2030,30,134,Puente Nacional
13333.7095747,2020,16,78,Santa Ana Maya
20431.028512,2019,24,5,Cárdenas
11619.8098609,2016,10,6,General Simón Bolívar
2976.54688164,2014,29,47,Lázaro Cárdenas
3394.2221169,2025,20,454,Santiago Atitlán
12380.7656364,2014,30,152,Tampico Alto
13652.5530975,2014,30,76,Ilamatlán
15363.2971602,2021,12,19,Copalillo
37900.172125,2029,15,15,Atlautla
27109.840499,2024,5,3,Allende
934.46741849,2010,20,361,Santa Catalina Quierí
126682.556229,2029,2,5,Playas de Rosarito
44709.837709,2014,4,11,Candelaria
11139.8095249,2011,7,24,Chanal
1109.76289964,2013,8,33,Huejotitán
15455.1294043,2022,24,39,Tampamolón Corona
60358.637441,2010,3,2,Mulegé
25506.440927,2026,5,36,Viesca
1375.27264735,2014,20,237,San Marcos Arteaga
20119.1623979,2016,14,45,Ixtlahuacán del Río
4384.5424473,2012,20,302,San Pedro Atoyac
5127.3726237,2025,21,55,Chila
58345.906967,2022,30,173,Tezonapa
7451.461241,2022,30,186,Tomatlán
6309.5408426,2020,21,147,Santa Inés Ahuatempan
29633.9921095,2011,8,9,Bocoyna
79594.540654,2023,15,110,Valle de Bravo
53296.459942,2018,30,40,Coatzintla
5654.1589105,2016,10,11,Indé
12401.2452561,2016,11,38,Tarandacuao
34144.329544,2028,27,7,Emiliano Zapata
21266.7572198,2016,29,19,Tepetitla de Lardizábal
61779.158469,2017,15,92,Teotihuacán
2553.1395491,2024,20,75,Reforma de Pineda
16786.858095,2010,14,88,Tecolotlán
